Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-pcor-mii.json	12816	-	0	0	0	0	0	0	15	87	0	0	0	0	1	0	0	0	0	0	31	136	318	0	0	0	0	5	0	4
fsh-generated/resources/CodeSystem-dem-antwort.json	860	5	0	0	2	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	15	16	171	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-dem-beziehungsstatus.json	565	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	16	14	119	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dem-einkommen.json	941	4	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	16	16	108	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-dem-erwerbsstatus.json	1319	3	0	0	0	0	0	0	1	7	0	0	1	0	0	0	0	0	0	0	13	20	133	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dem-geschlecht.json	864	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	11	14	85	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-dem-haeufigkeit-5.json	801	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	12	17	76	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dem-isced-de.json	1490	2	0	0	1	0	0	0	1	5	0	0	0	0	1	0	0	0	0	0	11	18	75	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-dem-leichtigkeit-6.json	926	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	16	68	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dem-rentenstatus.json	677	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	13	65	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-dem-urbanizitaet.json	693	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	11	62	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-dem-zigaretten-band.json	651	2	0	0	0	0	0	0	1	5	0	0	0	0	1	0	0	0	0	0	11	13	61	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-pcor-example-general-health.json	1125	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	15	56	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-DEM.json	14413	6	0	0	0	0	0	0	2	655	0	0	0	0	0	0	0	0	0	0	7	205	149	0	0	1	0	9	0	1
fsh-generated/resources/Questionnaire-PcorExampleQuestionnaire.json	2610	2	0	0	0	0	1	0	0	58	0	0	0	0	0	0	0	0	0	0	11	53	45	0	0	0	0	2	0	0
fsh-generated/resources/ValueSet-dem-beziehungsstatus-vs.json	1072	3	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	10	12	268	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-dem-einkommen-vs.json	1580	2	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	10	20	127	0	0	0	0	1	0	1
fsh-generated/resources/ValueSet-dem-erwerbsstatus-vs.json	2612	2	0	0	0	0	0	0	0	9	0	0	0	0	1	0	0	0	0	0	7	28	110	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-dem-geschlecht-vs.json	1501	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	10	19	96	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-dem-haeufigkeit-5-vs.json	1519	1	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	16	92	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-dem-isced-vs.json	2365	2	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	1	0	0	11	18	89	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-dem-ja-nein-ka-vs.json	1491	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	15	86	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-dem-ja-nein-nz-vs.json	1480	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	11	16	87	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-dem-ja-nein.json	1199	1	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	10	12	84	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-dem-leichtigkeit-6-vs.json	1776	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	10	20	83	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-dem-rentenstatus-vs.json	1352	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	11	16	87	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-dem-urbanizitaet-vs.json	1354	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	9	17	81	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-dem-zigaretten-band-vs.json	1331	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	10	15	77	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-pcor-example-general-health.json	591	1	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	6	9	72	0	0	0	0	0	0	0
